log,target,axis,n_levels,levels
BPIC13_incidents,duration,admissible_rung,3,B_half|B_intake|B_intake_g
BPIC13_incidents,duration,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
BPIC13_incidents,duration,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
BPIC13_incidents,duration,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
BPIC13_incidents,duration,decision_time,1,t_incident
BPIC13_incidents,handover,learner,2,logit|hgb
BPIC13_incidents,handover,encoding,2,onehot|target-xfit
BPIC13_incidents,handover,quality_level,6,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|corrupt@0.15|stale@1.00
BPIC13_incidents,handover,rung,4,B_empty|B_half|B_intake|B_intake_g
BPIC13_incidents,handover,admissible_rung,3,B_half|B_intake|B_intake_g
BPIC13_incidents,handover,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
BPIC13_incidents,handover,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
BPIC13_incidents,handover,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
BPIC13_incidents,handover,decision_time,1,t_incident
BPIC15_1,duration,learner,2,logit|hgb
BPIC15_1,duration,encoding,2,onehot|target-xfit
BPIC15_1,duration,quality_level,6,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|corrupt@0.15|stale@1.00
BPIC15_1,duration,rung,4,B_empty|B_half|B_intake|B_intake_g
BPIC15_1,duration,admissible_rung,3,B_half|B_intake|B_intake_g
BPIC15_1,duration,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
BPIC15_1,duration,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
BPIC15_1,duration,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
BPIC15_1,duration,decision_time,1,t_incident
BPIC15_1,handover,learner,2,logit|hgb
BPIC15_1,handover,encoding,2,onehot|target-xfit
BPIC15_1,handover,quality_level,6,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|corrupt@0.15|stale@1.00
BPIC15_1,handover,rung,4,B_empty|B_half|B_intake|B_intake_g
BPIC15_1,handover,admissible_rung,3,B_half|B_intake|B_intake_g
BPIC15_1,handover,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
BPIC15_1,handover,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
BPIC15_1,handover,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
BPIC15_1,handover,decision_time,1,t_incident
BPIC15_3,duration,learner,2,logit|hgb
BPIC15_3,duration,encoding,2,onehot|target-xfit
BPIC15_3,duration,quality_level,6,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|corrupt@0.15|stale@1.00
BPIC15_3,duration,rung,4,B_empty|B_half|B_intake|B_intake_g
BPIC15_3,duration,admissible_rung,3,B_half|B_intake|B_intake_g
BPIC15_3,duration,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
BPIC15_3,duration,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
BPIC15_3,duration,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
BPIC15_3,duration,decision_time,1,t_incident
BPIC15_3,handover,learner,2,logit|hgb
BPIC15_3,handover,encoding,2,onehot|target-xfit
BPIC15_3,handover,quality_level,6,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|corrupt@0.15|stale@1.00
BPIC15_3,handover,rung,4,B_empty|B_half|B_intake|B_intake_g
BPIC15_3,handover,admissible_rung,3,B_half|B_intake|B_intake_g
BPIC15_3,handover,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
BPIC15_3,handover,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
BPIC15_3,handover,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
BPIC15_3,handover,decision_time,1,t_incident
BPIC15_4,duration,learner,2,logit|hgb
BPIC15_4,duration,encoding,2,onehot|target-xfit
BPIC15_4,duration,quality_level,6,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|corrupt@0.15|stale@1.00
BPIC15_4,duration,rung,4,B_empty|B_half|B_intake|B_intake_g
BPIC15_4,duration,admissible_rung,3,B_half|B_intake|B_intake_g
BPIC15_4,duration,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
BPIC15_4,duration,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
BPIC15_4,duration,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
BPIC15_4,duration,decision_time,1,t_incident
BPIC15_4,handover,learner,2,logit|hgb
BPIC15_4,handover,encoding,2,onehot|target-xfit
BPIC15_4,handover,quality_level,6,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|corrupt@0.15|stale@1.00
BPIC15_4,handover,rung,4,B_empty|B_half|B_intake|B_intake_g
BPIC15_4,handover,admissible_rung,3,B_half|B_intake|B_intake_g
BPIC15_4,handover,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
BPIC15_4,handover,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
BPIC15_4,handover,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
BPIC15_4,handover,decision_time,1,t_incident
BPIC15_5,duration,learner,2,logit|hgb
BPIC15_5,duration,encoding,2,onehot|target-xfit
BPIC15_5,duration,quality_level,6,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|corrupt@0.15|stale@1.00
BPIC15_5,duration,rung,4,B_empty|B_half|B_intake|B_intake_g
BPIC15_5,duration,admissible_rung,3,B_half|B_intake|B_intake_g
BPIC15_5,duration,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
BPIC15_5,duration,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
BPIC15_5,duration,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
BPIC15_5,duration,decision_time,1,t_incident
BPIC17,duration,learner,2,logit|hgb
BPIC17,duration,encoding,2,onehot|target-xfit
BPIC17,duration,quality_level,6,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|corrupt@0.15|stale@1.00
BPIC17,duration,rung,4,B_empty|B_half|B_intake|B_intake_g
BPIC17,duration,admissible_rung,3,B_half|B_intake|B_intake_g
BPIC17,duration,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
BPIC17,duration,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
BPIC17,duration,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
BPIC17,duration,decision_time,1,t_incident
BPIC19,duration,learner,3,logit|hgb|logit_fr
BPIC19,duration,encoding,3,frequency|onehot|target-xfit
BPIC19,duration,quality_level,6,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|corrupt@0.15|stale@1.00
BPIC19,duration,rung,4,B_empty|B_half|B_intake|B_intake_g
BPIC19,duration,admissible_rung,3,B_half|B_intake|B_intake_g
BPIC19,duration,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
BPIC19,duration,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
BPIC19,duration,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
BPIC19,duration,decision_time,1,t_incident
Helpdesk,duration,learner,2,logit|hgb
Helpdesk,duration,encoding,2,onehot|target-xfit
Helpdesk,duration,quality_level,6,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|corrupt@0.15|stale@1.00
Helpdesk,duration,rung,4,B_empty|B_half|B_intake|B_intake_g
Helpdesk,duration,admissible_rung,3,B_half|B_intake|B_intake_g
Helpdesk,duration,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
Helpdesk,duration,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
Helpdesk,duration,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
Helpdesk,duration,decision_time,1,t_incident
RoadFines,duration,learner,3,logit|hgb|logit_fr
RoadFines,duration,encoding,3,frequency|onehot|target-xfit
RoadFines,duration,quality_level,6,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|corrupt@0.15|stale@1.00
RoadFines,duration,rung,4,B_empty|B_half|B_intake|B_intake_g
RoadFines,duration,admissible_rung,3,B_half|B_intake|B_intake_g
RoadFines,duration,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
RoadFines,duration,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
RoadFines,duration,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
RoadFines,duration,decision_time,1,t_incident
Sepsis,duration,learner,2,logit|hgb
Sepsis,duration,encoding,2,onehot|target-xfit
Sepsis,duration,quality_level,6,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|corrupt@0.15|stale@1.00
Sepsis,duration,rung,4,B_empty|B_half|B_intake|B_intake_g
Sepsis,duration,admissible_rung,3,B_half|B_intake|B_intake_g
Sepsis,duration,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
Sepsis,duration,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
Sepsis,duration,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
Sepsis,duration,decision_time,1,t_incident
UCI498,duration,learner,2,logit|hgb
UCI498,duration,encoding,2,onehot|target-xfit
UCI498,duration,quality_level,6,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|corrupt@0.15|stale@1.00
UCI498,duration,rung,4,B_empty|B_half|B_intake|B_intake_g
UCI498,duration,admissible_rung,3,B_half|B_intake|B_intake_g
UCI498,duration,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
UCI498,duration,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
UCI498,duration,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
UCI498,duration,decision_time,1,t_incident
UCI498,handover,learner,2,logit|hgb
UCI498,handover,encoding,2,onehot|target-xfit
UCI498,handover,quality_level,6,clean@1.00|mask_rare@0.75|mask_rare@0.50|mask_rare@0.25|corrupt@0.15|stale@1.00
UCI498,handover,rung,4,B_empty|B_half|B_intake|B_intake_g
UCI498,handover,admissible_rung,3,B_half|B_intake|B_intake_g
UCI498,handover,scalar_metric,5,auc|ap|brier_skill|nagelkerke|logloss_skill
UCI498,handover,operating_point,31,0.050|0.075|0.100|0.125|0.150|0.175|0.200|0.225|0.250|0.275|0.300|0.325|0.350|0.375|0.400|0.425|0.450|0.475|0.500|0.525|0.550|0.575|0.600|0.625|0.650|0.675|0.700|0.725|0.750|0.775|0.800
UCI498,handover,split,6,holdout70|rolling1|rolling2|rolling3|rolling4|rolling5
UCI498,handover,decision_time,1,t_incident
