log,domain,attribute,role,cardinality,missing,reuse,coverage,resource_like,g_alt
BPIC17,lending,case:ApplicationType,B0,2,0.0,15754.5,1.0,False,False
BPIC17,lending,case:RequestedAmount,f_registered,701,0.0,44.94864479315264,0.9852956733312176,False,False
BPIC17,lending,org:resource,g,111,0.0,283.86486486486484,0.9535597164921189,True,False
BPIC17,lending,EventID,unused,31509,0.0,1.0,0.0,False,False
BPIC19,procurement,case:Spend area text,B0,20,0.013065378534484813,12586.7,1.0,False,False
BPIC19,procurement,case:Company,B0,4,0.0,62933.5,0.9999735172998239,False,False
BPIC19,procurement,case:Document Type,B0,3,0.0,83911.33333333333,1.0,False,False
BPIC19,procurement,case:Sub spend area text,B0,135,0.013065378534484813,1864.6962962962964,0.9999337932495598,False,False
BPIC19,procurement,case:Purchasing Document,f_registered,76349,0.0,3.297148620152196,0.004078335827120933,False,False
BPIC19,procurement,case:Vendor,f_amended,1975,0.0,127.46025316455696,0.989406919929556,False,False
BPIC19,procurement,case:Item Type,B0,6,0.0,41955.666666666664,1.0,False,False
BPIC19,procurement,case:Item Category,B0,4,0.0,62933.5,1.0,False,False
BPIC19,procurement,case:Spend classification text,B0,3,0.013065378534484813,83911.33333333333,1.0,False,False
BPIC19,procurement,case:Name,layer,1899,0.0,132.56134807793575,0.9895790574807007,False,False
BPIC19,procurement,case:GR-Based Inv. Verif.,B0,2,0.0,125867.0,1.0,False,False
BPIC19,procurement,case:Item,unused,490,0.0,513.7428571428571,0.9977754531852068,False,False
BPIC19,procurement,User,unused,355,0.014217388195476178,709.1098591549296,0.7114974642814581,False,False
BPIC19,procurement,org:resource,g,355,0.014217388195476178,709.1098591549296,0.7114974642814581,True,False
BPIC15_1,permitting,case:caseStatus,B0,3,0.0,399.6666666666667,0.9972222222222222,False,False
BPIC15_1,permitting,case:SUMleges,unused,613,0.24437030859049208,1.9559543230016314,0.33611111111111114,False,False
BPIC15_1,permitting,case:Responsible_actor,B0,20,0.0008340283569641367,59.95,0.9916666666666667,False,False
BPIC15_1,permitting,case:parts,f_registered,88,0.0016680567139282735,13.625,0.9166666666666666,False,False
BPIC15_1,permitting,case:termName,B0,13,0.25771476230191825,92.23076923076923,0.9472222222222222,False,False
BPIC15_1,permitting,case:requestComplete,B0,2,0.0,599.5,1.0,False,False
BPIC15_1,permitting,case:IDofConceptCase,unused,810,0.3244370308590492,1.480246913580247,0.24722222222222223,False,False
BPIC15_1,permitting,question,B0,7,0.0,171.28571428571428,0.9972222222222222,False,False
BPIC15_1,permitting,activityNameEN,B0,13,0.0,92.23076923076923,0.9861111111111112,False,False
BPIC15_1,permitting,monitoringResource,B0,21,0.0,57.095238095238095,0.9277777777777778,False,False
BPIC15_1,permitting,org:resource,g,15,0.0,79.93333333333334,0.7916666666666666,True,False
BPIC15_1,permitting,activityNameNL,B0,13,0.0,92.23076923076923,0.9861111111111112,False,False
BPIC15_1,permitting,case:Includes_subCases,B0,2,0.21434528773978315,599.5,0.2861111111111111,False,False
BPIC15_3,permitting,case:Includes_subCases,B0,2,0.24059616749467708,704.5,1.0,False,False
BPIC15_3,permitting,case:Responsible_actor,B0,20,0.0,70.45,0.9929078014184397,False,False
BPIC15_3,permitting,case:caseStatus,B0,2,0.0,704.5,1.0,False,False
BPIC15_3,permitting,case:termName,B0,13,0.18594748048261178,108.38461538461539,0.9976359338061466,False,False
BPIC15_3,permitting,case:requestComplete,B0,2,0.0,704.5,1.0,False,False
BPIC15_3,permitting,question,B0,11,0.0,128.0909090909091,0.9929078014184397,False,False
BPIC15_3,permitting,activityNameEN,B0,8,0.0,176.125,1.0,False,False
BPIC15_3,permitting,monitoringResource,B0,16,0.0,88.0625,0.9976359338061466,False,False
BPIC15_3,permitting,org:resource,g,10,0.0,140.9,1.0,True,False
BPIC15_3,permitting,activityNameNL,B0,8,0.0,176.125,1.0,False,False
BPIC15_3,permitting,case:parts,f_amended,93,0.0198722498225692,15.150537634408602,0.9219858156028369,False,False
BPIC15_3,permitting,case:SUMleges,f_registered,532,0.41731724627395317,2.648496240601504,0.475177304964539,False,False
BPIC15_3,permitting,case:IDofConceptCase,unused,804,0.42867281760113557,1.7524875621890548,0.30969267139479906,False,False
BPIC15_4,permitting,case:Responsible_actor,B0,9,0.0,117.0,1.0,False,False
BPIC15_4,permitting,case:caseStatus,B0,2,0.0,526.5,1.0,False,False
BPIC15_4,permitting,case:parts,f_amended,52,0.00949667616334283,20.25,0.9746835443037974,False,False
BPIC15_4,permitting,case:SUMleges,f_registered,476,0.2621082621082621,2.21218487394958,0.4651898734177215,False,False
BPIC15_4,permitting,case:requestComplete,B0,2,0.0,526.5,1.0,False,False
BPIC15_4,permitting,case:IDofConceptCase,unused,621,0.41025641025641024,1.6956521739130435,0.3069620253164557,False,False
BPIC15_4,permitting,question,B0,18,0.0,58.5,0.9968354430379747,False,False
BPIC15_4,permitting,activityNameEN,B0,15,0.0,70.2,0.9746835443037974,False,False
BPIC15_4,permitting,monitoringResource,B0,11,0.0,95.72727272727273,0.9240506329113924,False,False
BPIC15_4,permitting,org:resource,g,7,0.0,150.42857142857142,0.9968354430379747,True,False
BPIC15_4,permitting,activityNameNL,B0,15,0.0,70.2,0.9746835443037974,False,False
BPIC15_4,permitting,case:Includes_subCases,B0,2,0.1889838556505223,526.5,0.370253164556962,False,False
BPIC15_5,permitting,case:caseStatus,B0,3,0.0,385.3333333333333,1.0,False,False
BPIC15_5,permitting,case:SUMleges,f_registered,565,0.19204152249134948,2.046017699115044,0.3371757925072046,False,False
BPIC15_5,permitting,case:Responsible_actor,B0,8,0.0,144.5,1.0,False,False
BPIC15_5,permitting,case:landRegisterID,unused,856,0.02249134948096886,1.3504672897196262,0.21902017291066284,False,False
BPIC15_5,permitting,case:parts,f_amended,106,0.0017301038062283738,10.90566037735849,0.9279538904899135,False,False
BPIC15_5,permitting,case:requestComplete,B0,2,0.0,578.0,1.0,False,False
BPIC15_5,permitting,case:IDofConceptCase,unused,637,0.44809688581314877,1.814756671899529,0.3170028818443804,False,False
BPIC15_5,permitting,question,B0,2,0.0,578.0,1.0,False,False
BPIC15_5,permitting,activityNameEN,B0,12,0.0,96.33333333333333,0.9884726224783862,False,False
BPIC15_5,permitting,monitoringResource,B0,16,0.0,72.25,0.8270893371757925,False,False
BPIC15_5,permitting,org:resource,g,18,0.0,64.22222222222223,0.6657060518731989,True,False
BPIC15_5,permitting,activityNameNL,B0,12,0.0,96.33333333333333,0.9884726224783862,False,False
BPIC15_5,permitting,case:Includes_subCases,B0,2,0.2577854671280277,578.0,0.14121037463976946,False,False
Sepsis,healthcare,InfectionSuspected,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,org:group,g,4,0.0,262.5,1.0,True,False
Sepsis,healthcare,DiagnosticBlood,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,DisfuncOrg,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,SIRSCritTachypnea,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,Hypotensie,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,SIRSCritHeartRate,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,Infusion,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,DiagnosticArtAstrup,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,Age,B0,15,0.0,70.0,1.0,False,False
Sepsis,healthcare,DiagnosticIC,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,DiagnosticSputum,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,DiagnosticLiquor,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,DiagnosticOther,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,SIRSCriteria2OrMore,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,DiagnosticXthorax,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,SIRSCritTemperature,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,DiagnosticUrinaryCulture,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,SIRSCritLeucos,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,Oligurie,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,DiagnosticLacticAcid,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,Diagnose,f_registered,145,0.2419047619047619,7.241379310344827,0.9206349206349206,False,False
Sepsis,healthcare,Hypoxie,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,DiagnosticUrinarySediment,B0,2,0.05238095238095238,525.0,1.0,False,False
Sepsis,healthcare,DiagnosticECG,B0,2,0.05238095238095238,525.0,1.0,False,False
RoadFines,enforcement,amount,f_registered,113,0.0,1330.7079646017698,0.18614085256367627,False,False
RoadFines,enforcement,org:resource,g,147,0.0,1022.9251700680272,0.6325508190906874,True,False
RoadFines,enforcement,dismissal,B0,24,0.0,6265.416666666667,0.9999778324577154,False,False
RoadFines,enforcement,vehicleClass,B0,4,0.0,37592.5,1.0,False,False
RoadFines,enforcement,article,f_amended,66,0.0,2278.3333333333335,0.9995344816120236,False,False
RoadFines,enforcement,points,B0,9,0.0,16707.777777777777,0.9994014763583161,False,False
