log,attribute,n,unique_share,mean_length,space_share,digitstrip_ratio,structurally_excluded,is_free_text,fails,example
BPIC14,Closure Code,31219,0.0004164130817771229,8.866075146545374,0.206444793234889,1.0,outcome-field,False,"unique, length, space, outcome-field",Other
BPIC14,# Related Interactions,32522,0.0012299366582620996,3.0016911629051104,0.0,0.025,outcome-field,False,"unique, length, space, not-an-id, outcome-field",1.0
BPIC14,Related Interaction,32522,0.9222680031978353,9.155525490437242,0.0,6.668000266720011e-05,-,False,"length, space, not-an-id",SD0000007
BPIC14,# Related Incidents,778,0.02442159383033419,3.020565552699229,0.0,0.05263157894736842,outcome-field,False,"unique, length, space, not-an-id, outcome-field",2.0
BPIC14,# Related Changes,405,0.009876543209876543,3.0,0.0,0.25,outcome-field,False,"unique, length, space, not-an-id, outcome-field",1.0
BPIC14,Related Change,405,0.4271604938271605,9.093827160493827,0.0,0.011560693641618497,outcome-field,False,"length, space, not-an-id, outcome-field",C00000056
BPIC14,CI Name (CBy),31801,0.087701644602371,8.99556617716424,0.0,0.01936177841520258,outcome-field,False,"unique, length, space, not-an-id, outcome-field",SUB000508
BPIC14,CI Type (CBy),31801,0.00040879217634665576,11.013490141819439,0.0026728719222665954,1.0,outcome-field,False,"unique, length, space, outcome-field",subapplication
BPIC14,CI Subtype (CBy),31801,0.0017609509134932863,19.237319581145247,0.8502562812490173,1.0,outcome-field,False,"unique, length, outcome-field",Web Based Application
BPIC14,ServiceComp WBS (CBy),30094,0.00863959593274407,9.0,0.0,0.0038461538461538464,outcome-field,False,"unique, length, space, not-an-id, outcome-field",WBS000162
BPIC14,assignment group,32624,0.0017165277096615988,8.0,0.0,0.017857142857142856,-,False,"unique, length, space, not-an-id",TEAM0001
BPIC14,case_id,32624,1.0,9.0,0.0,3.065228052967141e-05,-,False,"length, space, not-an-id",IM0000004
UCI498,case_id,17442,1.0,10.0,0.0,5.733287467033597e-05,-,False,"length, space, not-an-id",INC0000045
UCI498,incident_state,17442,0.00028666437335167987,4.400928792569659,0.011409242059396859,1.0,outcome-field,False,"unique, length, space, outcome-field",New
UCI498,active,17442,5.733287467033597e-05,4.0,0.0,1.0,outcome-field,False,"unique, length, space, outcome-field",True
UCI498,reassignment_count,17442,0.00011466574934067194,1.0,0.0,0.5,outcome-field,False,"unique, length, space, not-an-id, outcome-field",0
UCI498,reopen_count,17442,5.733287467033597e-05,1.0,0.0,1.0,outcome-field,False,"unique, length, space, outcome-field",0
UCI498,sys_mod_count,17442,0.00011466574934067194,1.0,0.0,0.5,outcome-field,False,"unique, length, space, not-an-id, outcome-field",0
UCI498,made_sla,17442,0.00011466574934067194,4.00005733287467,0.0,1.0,outcome-field,False,"unique, length, space, outcome-field",True
UCI498,caller_id,17439,0.2595332301164058,10.78966683869488,1.0,0.0002209456473707468,-,False,"unique, length, not-an-id",Caller 2403
UCI498,opened_by,16728,0.009026781444285032,13.386597321855572,1.0,0.006622516556291391,-,False,"unique, length, not-an-id",Opened by  8
UCI498,opened_at,17442,0.7850017199862401,14.663398692810457,1.0,7.303534910896874e-05,timestamp,False,"length, not-an-id, timestamp",29/2/2016 01:16
UCI498,sys_created_by,10187,0.01413566310002945,13.248944733483851,1.0,0.006944444444444444,-,False,"unique, length, not-an-id",Created by 6
UCI498,sys_created_at,10187,0.8484342789830176,14.641111220182585,1.0,0.00011570056693277797,timestamp,False,"length, not-an-id, timestamp",29/2/2016 01:23
UCI498,sys_updated_by,17442,0.008313266827198715,13.784829721362229,1.0,0.006896551724137931,outcome-field,False,"unique, length, not-an-id, outcome-field",Updated by 21
UCI498,sys_updated_at,17442,0.7726178190574475,14.663398692810457,1.0,7.420599584446424e-05,outcome-field,False,"length, not-an-id, outcome-field",29/2/2016 01:23
UCI498,contact_type,17442,0.00011466574934067194,5.0,0.0,1.0,-,False,"unique, length, space",Phone
UCI498,location,17390,0.010925819436457734,11.721621621621622,1.0,0.005263157894736842,-,False,"unique, length, not-an-id",Location 143
UCI498,category,17416,0.002468994028479559,10.952687184198439,1.0,0.023255813953488372,-,False,"unique, length, not-an-id",Category 55
UCI498,subcategory,17386,0.01207868399861958,14.765558495341079,1.0,0.004761904761904762,-,False,"unique, length, not-an-id",Subcategory 170
UCI498,u_symptom,13307,0.0340422334109867,10.877057187946194,1.0,0.002207505518763797,-,False,"unique, length, not-an-id",Symptom 72
UCI498,cmdb_ci,46,0.8695652173913043,9.847826086956522,1.0,0.025,-,False,"length, not-an-id, too-few-rows",cmdb_ci 31
UCI498,impact,17442,0.0001719986240110079,9.893475518862516,1.0,1.0,-,False,"unique, length",2 - Medium
UCI498,urgency,17442,0.0001719986240110079,9.889232886136911,1.0,1.0,-,False,"unique, length",2 - Medium
UCI498,priority,17442,0.00022933149868134388,11.80380690287811,1.0,1.0,-,False,"unique, length",3 - Moderate
UCI498,assignment_group,16584,0.004040038591413411,7.96134828750603,1.0,0.014925373134328358,-,False,"unique, length, not-an-id",Group 56
UCI498,assigned_to,12858,0.013610203764193498,11.468346554674133,1.0,0.005714285714285714,-,False,"unique, length, not-an-id",Resolver 89
UCI498,knowledge,17442,0.00011466574934067194,4.796296296296297,0.0,1.0,-,False,"unique, length, space",True
UCI498,u_priority_confirmation,17442,0.00011466574934067194,4.999312005503956,0.0,1.0,-,False,"unique, length, space",False
UCI498,notify,17442,0.00011466574934067194,12.993808049535604,1.0,1.0,-,False,"unique, length",Do Not Notify
UCI498,problem_id,183,0.6502732240437158,14.081967213114755,1.0,0.008403361344537815,-,False,"length, not-an-id",Problem ID  2
UCI498,rfc,79,0.9873417721518988,10.0,0.0,0.01282051282051282,-,False,"length, space, not-an-id",CHG0000127
UCI498,vendor,3,0.6666666666666666,7.666666666666667,1.0,1.0,-,False,"length, too-few-rows",code 8s
UCI498,caused_by,2,1.0,10.0,0.0,0.5,-,False,"length, space, not-an-id, too-few-rows",CHG0000132
UCI498,closed_code,17377,0.0009207573228980837,6.034470852275997,1.0,0.0625,outcome-field,False,"unique, length, not-an-id, outcome-field",code 5
UCI498,resolved_by,17353,0.010315219270443151,14.445686624791103,1.0,0.00558659217877095,outcome-field,False,"unique, length, not-an-id, outcome-field",Resolved by 149
UCI498,resolved_at,16208,0.7959032576505429,14.697680157946692,1.0,7.751937984496124e-05,outcome-field,False,"length, not-an-id, outcome-field",29/2/2016 11:29
UCI498,closed_at,17442,0.09666322669418645,14.664946680426556,1.0,0.0005931198102016608,outcome-field,False,"unique, length, not-an-id, outcome-field",5/3/2016 12:00
UCI498,_ts,17442,0.7726178190574475,19.0,1.0,7.420599584446424e-05,timestamp,False,"length, not-an-id, timestamp",2016-02-29 01:23:00
Helpdesk,case_id,3206,1.0,8.764815970056144,1.0,0.00031191515907673113,-,False,"length, not-an-id",Case 3608
Helpdesk,Activity,3206,0.0018714909544603868,17.87024329382408,0.9996880848409233,1.0,outcome-field,False,"unique, length, outcome-field",Assign seriousness
Helpdesk,Resource,3206,0.004678727386150967,7.16032439176544,1.0,0.06666666666666667,-,False,"unique, length, not-an-id",Value 2
Helpdesk,Complete Timestamp,3206,1.0,23.0,1.0,0.00031191515907673113,timestamp,False,"not-an-id, timestamp",2010/01/13 08:40:25.000
Helpdesk,Variant,3206,0.04834684965689332,9.172489082969433,1.0,0.0064516129032258064,-,False,"unique, length, not-an-id",Variant 33
Helpdesk,Variant index,3206,0.04834684965689332,1.1724890829694323,0.0,0.0064516129032258064,-,False,"unique, length, space, not-an-id",33
Helpdesk,Variant.1,3206,0.04834684965689332,9.172489082969433,1.0,0.0064516129032258064,-,False,"unique, length, not-an-id",Variant 33
Helpdesk,seriousness,3206,0.00031191515907673113,7.0,1.0,1.0,-,False,"unique, length",Value 1
Helpdesk,customer,3206,0.10106051154086089,8.233624454148472,1.0,0.0030864197530864196,-,False,"unique, length, not-an-id",Value 63
Helpdesk,product,3206,0.0056144728633811605,7.041796631316282,1.0,0.05555555555555555,-,False,"unique, length, not-an-id",Value 3
Helpdesk,responsible_section,3206,0.002183406113537118,7.0,1.0,0.14285714285714285,-,False,"unique, length, not-an-id",Value 5
Helpdesk,seriousness_2,3206,0.0012476606363069245,7.0,1.0,0.25,-,False,"unique, length, not-an-id",Value 1
Helpdesk,service_level,3206,0.0012476606363069245,7.0,1.0,0.25,-,False,"unique, length, not-an-id",Value 2
Helpdesk,service_type,3206,0.0009357454772301934,7.0,1.0,0.3333333333333333,-,False,"unique, length, not-an-id",Value 1
Helpdesk,support_section,3206,0.002183406113537118,7.0,1.0,0.14285714285714285,-,False,"unique, length, not-an-id",Value 4
Helpdesk,workgroup,3206,0.0012476606363069245,7.0,1.0,0.25,-,False,"unique, length, not-an-id",Value 3
Helpdesk,_ts,3206,1.0,19.0,1.0,0.00031191515907673113,timestamp,False,"length, not-an-id, timestamp",2010-01-13 08:40:25
BPIC13_incidents,case:concept:name,5287,1.0,11.0,0.0,0.00018914318138831096,outcome-field,False,"length, space, not-an-id, outcome-field",1-364285768
BPIC13_incidents,org:group,5287,0.05636466805371666,3.3204085492717987,0.10913561566105542,0.12080536912751678,-,False,"unique, length, space, not-an-id",V30
BPIC13_incidents,resource country,5287,0.005296009078872707,5.415169283147343,0.0043502931719311515,1.0,-,False,"unique, length, space",France
BPIC13_incidents,organization country,5287,0.004161149990542841,1.9958388500094573,0.0,1.0,-,False,"unique, length, space",fr
BPIC13_incidents,org:resource,5287,0.13410251560431247,6.039720068091546,0.018725174957442785,1.0,-,False,"unique, length, space",Frederic
BPIC13_incidents,organization involved,5287,0.003215434083601286,9.830149423113296,0.9360696046907508,0.5882352941176471,-,False,"unique, length",Org line A2
BPIC13_incidents,org:role,4675,0.004064171122994653,3.9101604278074866,0.0,0.2631578947368421,-,False,"unique, length, space, not-an-id",A2_4
BPIC13_incidents,concept:name,5287,0.0005674295441649329,7.680158880272367,0.0,1.0,outcome-field,False,"unique, length, space, outcome-field",Accepted
BPIC13_incidents,impact,5287,0.0007565727255532438,4.625496500851145,0.0,1.0,-,False,"unique, length, space",Medium
BPIC13_incidents,product,5287,0.11632305655381124,6.925288443351617,0.00018914318138831096,0.0065040650406504065,-,False,"unique, length, space, not-an-id",PROD582
BPIC13_incidents,lifecycle:transition,5287,0.0013240022697181767,12.278418763003593,0.9994325704558351,1.0,outcome-field,False,"unique, length, outcome-field",In Progress
BPIC13_incidents,time:timestamp,5287,0.9907319841119727,25.0,0.0,0.00019091256204658267,outcome-field,False,"space, not-an-id, outcome-field",2010-03-31T16:59:42+02:00
BPIC13_open,case:concept:name,573,1.0,11.0,0.0,0.0017452006980802793,outcome-field,False,"length, space, not-an-id, outcome-field",1-147898401
BPIC13_open,org:group,573,0.017452006980802792,10.539267015706807,1.0,0.7,-,False,"unique, length",Org line A2
BPIC13_open,resource country,573,0.02268760907504363,6.200698080279232,0.04886561954624782,1.0,-,False,"unique, length, space",Sweden
BPIC13_open,org:resource,567,0.25925925925925924,5.654320987654321,0.005291005291005291,1.0,-,False,"unique, length, space",Tomas
BPIC13_open,oranization country,573,0.02268760907504363,1.9965095986038395,0.0,1.0,-,False,"unique, length, space",cn
BPIC13_open,org:role,398,0.06281407035175879,3.5251256281407035,0.0,0.2,-,False,"unique, length, space, not-an-id",A2_2
BPIC13_open,concept:name,573,0.005235602094240838,7.841186736474695,0.0,1.0,outcome-field,False,"unique, length, space, outcome-field",Accepted
BPIC13_open,impact,573,0.006980802792321117,5.020942408376963,0.0,1.0,-,False,"unique, length, space",Medium
BPIC13_open,product,573,0.16579406631762653,6.87958115183246,0.0,0.010526315789473684,-,False,"unique, length, space, not-an-id",PROD753
BPIC13_open,time:timestamp,573,1.0,25.0,0.0,0.0017452006980802793,outcome-field,False,"space, not-an-id, outcome-field",2006-11-07T10:00:36+01:00
BPIC13_open,lifecycle:transition,573,0.008726003490401396,11.497382198952879,0.9668411867364747,1.0,outcome-field,False,"unique, length, outcome-field",In Progress
BPIC13_closed,case:concept:name,1040,1.0,11.0,0.0,0.0009615384615384616,outcome-field,False,"length, space, not-an-id, outcome-field",1-109135791
BPIC13_closed,org:group,1040,0.011538461538461539,10.65576923076923,1.0,0.6666666666666666,-,False,"unique, length",Org line A2
BPIC13_closed,resource country,1040,0.015384615384615385,5.655769230769231,0.035576923076923075,1.0,-,False,"unique, length, space",INDIA
BPIC13_closed,organization country,1040,0.015384615384615385,1.9961538461538462,0.0,1.0,-,False,"unique, length, space",se
BPIC13_closed,org:resource,1039,0.30317613089509143,5.965351299326275,0.0019249278152069298,1.0,-,False,"unique, length, space",Minnie
BPIC13_closed,organization involved,1040,0.21153846153846154,7.207692307692308,0.9663461538461539,0.11363636363636363,-,False,"unique, length, not-an-id",J11 2nd
BPIC13_closed,org:role,652,0.03987730061349693,3.523006134969325,0.0,0.19230769230769232,-,False,"unique, length, space, not-an-id",A2_2
BPIC13_closed,concept:name,1040,0.0028846153846153848,7.9490384615384615,0.0,1.0,outcome-field,False,"unique, length, space, outcome-field",Queued
BPIC13_closed,impact,1040,0.0038461538461538464,5.077884615384615,0.0,1.0,-,False,"unique, length, space",High
BPIC13_closed,product,1040,0.2605769230769231,6.775,0.0,0.007380073800738007,-,False,"unique, length, space, not-an-id",PROD191
BPIC13_closed,lifecycle:transition,1040,0.004807692307692308,11.051923076923076,0.9721153846153846,1.0,outcome-field,False,"unique, length, outcome-field",Awaiting Assignment
BPIC13_closed,time:timestamp,1040,1.0,25.0,0.0,0.0009615384615384616,outcome-field,False,"space, not-an-id, outcome-field",2006-01-11T15:49:42+01:00
BPIC12,case:REG_DATE,9160,1.0,29.0,0.0,0.0001091703056768559,timestamp,False,"space, not-an-id, timestamp",2011-10-01T00:38:44.546+02:00
BPIC12,case:concept:name,9160,1.0,6.0,0.0,0.0001091703056768559,outcome-field,False,"length, space, not-an-id, outcome-field",173688
BPIC12,case:AMOUNT_REQ,9160,0.0546943231441048,4.5019650655021834,0.0,0.001996007984031936,-,False,"unique, length, space, not-an-id",20000
BPIC12,org:resource,9160,0.0001091703056768559,3.0,0.0,1.0,-,False,"unique, length, space",112
BPIC12,lifecycle:transition,9160,0.0001091703056768559,8.0,0.0,1.0,outcome-field,False,"unique, length, space, outcome-field",COMPLETE
BPIC12,concept:name,9160,0.0001091703056768559,11.0,0.0,1.0,outcome-field,False,"unique, length, space, outcome-field",A_SUBMITTED
BPIC12,time:timestamp,9160,1.0,29.0,0.0,0.0001091703056768559,outcome-field,False,"space, not-an-id, outcome-field",2011-10-01T00:38:44.546+02:00
BPIC17,case:LoanGoal,20228,0.0006426735218508997,13.346104409729088,0.6542910816689737,1.0,-,False,"unique, length",Existing loan takeover
BPIC17,case:ApplicationType,22056,9.067827348567283e-05,10.114481320275662,1.0,1.0,-,False,"unique, length",New credit
BPIC17,case:concept:name,22056,1.0,21.48816648531012,0.0,4.5339136742836415e-05,outcome-field,False,"space, not-an-id, outcome-field",Application_652823628
BPIC17,case:RequestedAmount,22056,0.026251360174102286,6.299102285092492,0.0,0.0017271157167530224,-,False,"unique, length, space, not-an-id",20000.0
BPIC17,Action,22056,4.5339136742836415e-05,7.0,0.0,1.0,-,False,"unique, length, space",Created
BPIC17,org:resource,22056,0.0041712005803409506,6.308396808124773,0.0,0.010869565217391304,-,False,"unique, length, space, not-an-id",User_1
BPIC17,concept:name,22056,4.5339136742836415e-05,20.0,1.0,1.0,outcome-field,False,"unique, length, outcome-field",A_Create Application
BPIC17,EventOrigin,22056,4.5339136742836415e-05,11.0,0.0,1.0,-,False,"unique, length, space",Application
BPIC17,EventID,22056,1.0,21.48816648531012,0.0,4.5339136742836415e-05,-,False,"space, not-an-id",Application_652823628
BPIC17,lifecycle:transition,22056,4.5339136742836415e-05,8.0,0.0,1.0,outcome-field,False,"unique, length, space, outcome-field",complete
BPIC17,time:timestamp,22056,1.0,24.0,0.0,4.5339136742836415e-05,outcome-field,False,"space, not-an-id, outcome-field",2016-01-01T09:51:15.304Z
BPIC19,case:Spend area text,174634,0.00011452523563567232,9.64241785677474,0.17327668151677222,1.0,-,False,"unique, length, space",Sales
BPIC19,case:Company,176213,1.7024850606935926e-05,14.0,0.0,0.3333333333333333,-,False,"unique, length, space, not-an-id",companyID_0000
BPIC19,case:Document Type,176213,1.7024850606935926e-05,11.0532650825989,1.0,1.0,-,False,"unique, length",Standard PO
BPIC19,case:Sub spend area text,174634,0.0007558665551954373,17.880584536802683,0.6581421716275181,1.0,-,False,"unique, length",Products for Resale
BPIC19,case:Purchasing Document,176213,0.3002275655031127,10.0,0.0,1.8902162407379404e-05,-,False,"unique, length, space, not-an-id",4507004931
BPIC19,case:Purch. Doc. Category name,176213,5.674950202311974e-06,14.0,1.0,1.0,-,False,"unique, length",Purchase order
BPIC19,case:Vendor,176213,0.009976562455664452,13.0,0.0,0.0005688282138794084,-,False,"unique, length, space, not-an-id",vendorID_0670
BPIC19,case:Item Type,176213,3.404970121387185e-05,8.32545271915239,0.0,1.0,-,False,"unique, length, space",Standard
BPIC19,case:Item Category,176213,2.2699800809247898e-05,28.79082133554278,0.941990659031967,1.0,-,False,unique,"3-way match, invoice before GR"
BPIC19,case:Spend classification text,174634,1.7178785345350848e-05,2.349187443453165,0.0,1.0,-,False,"unique, length, space",NPR
BPIC19,case:Source,176213,5.674950202311974e-06,19.0,0.0,1.0,-,False,"unique, length, space",sourceSystemID_0000
BPIC19,case:Name,176213,0.009579315941502613,11.0,0.0,0.0005924170616113745,-,False,"unique, length, space, not-an-id",vendor_0645
BPIC19,case:GR-Based Inv. Verif.,176213,1.1349900404623949e-05,4.94001010141136,0.0,1.0,-,False,"unique, length, space",false
BPIC19,case:Item,176213,0.0018273339651444559,5.0,0.0,0.003105590062111801,-,False,"unique, length, space, not-an-id",00010
BPIC19,case:concept:name,176213,1.0,16.0,0.0,5.674950202311974e-06,outcome-field,False,"length, space, not-an-id, outcome-field",4507004931_00010
BPIC19,case:Goods Receipt,176213,1.1349900404623949e-05,4.002474278288208,0.0,1.0,outcome-field,False,"unique, length, space, outcome-field",true
BPIC19,User,173442,0.0011473576181086473,8.0,0.0,0.010050251256281407,-,False,"unique, length, space, not-an-id",user_329
BPIC19,org:resource,173442,0.0011473576181086473,8.0,0.0,0.010050251256281407,-,False,"unique, length, space, not-an-id",user_329
BPIC19,concept:name,176213,4.5399601618495795e-05,25.924977158325436,1.0,1.0,outcome-field,False,"unique, outcome-field",Vendor creates invoice
BPIC19,Cumulative net worth (EUR),176213,0.0794266030315584,5.182313450199475,0.0,7.144898542440698e-05,outcome-field,False,"unique, length, space, not-an-id, outcome-field",325.0
BPIC19,time:timestamp,176213,0.20888924199690148,24.0,0.0,2.716726887446005e-05,outcome-field,False,"unique, space, not-an-id, outcome-field",1948-01-26T22:59:00.000Z
BPIC15_1,case:endDate,716,0.4818435754189944,25.0,0.0,0.002898550724637681,timestamp,False,"space, not-an-id, timestamp",2014-06-10T14:13:27+02:00
BPIC15_1,case:caseStatus,839,0.0023837902264600714,1.0,0.0,1.0,-,False,"unique, length, space",G
BPIC15_1,case:SUMleges,631,0.6973058637083994,8.177496038034866,0.0,0.004545454545454545,-,False,"length, space, not-an-id",1354.2542
BPIC15_1,case:last_phase,839,0.026221692491060787,19.37783075089392,1.0,1.0,outcome-field,False,"unique, length, outcome-field",Buiten behandeling gelaten
BPIC15_1,case:case_type,839,0.0011918951132300357,6.0,0.0,1.0,-,False,"unique, length, space",557669
BPIC15_1,case:concept:name,839,1.0,7.0,0.0,0.0011918951132300357,outcome-field,False,"length, space, not-an-id, outcome-field",2760925
BPIC15_1,case:Responsible_actor,838,0.021479713603818614,6.569212410501193,0.0,0.05555555555555555,-,False,"unique, length, space, not-an-id",4901428
BPIC15_1,case:parts,837,0.07526881720430108,12.605734767025089,0.2712066905615293,1.0,-,False,"unique, length, space","Inrit/Uitweg,Inrit/Uitweg"
BPIC15_1,case:termName,612,0.017973856209150325,26.130718954248366,1.0,0.8181818181818182,-,False,unique,Termijn ter inzage verlenging
BPIC15_1,case:endDatePlanned,35,0.8285714285714286,25.0,0.0,0.034482758620689655,timestamp,False,"space, not-an-id, too-few-rows, timestamp",2010-12-29T00:00:00+01:00
BPIC15_1,case:startDate,839,0.5816448152562574,25.0,0.0,0.0020491803278688526,timestamp,False,"space, not-an-id, timestamp",2010-10-05T00:00:00+02:00
BPIC15_1,case:requestComplete,839,0.0023837902264600714,4.151370679380214,0.0,1.0,-,False,"unique, length, space",TRUE
BPIC15_1,case:IDofConceptCase,539,1.0,7.0,0.0,0.0018552875695732839,-,False,"length, space, not-an-id",2760933
BPIC15_1,question,839,0.007151370679380214,5.054827175208581,0.004767580452920143,0.5,-,False,"unique, length, space, not-an-id",5-10-2010 0:00:00
BPIC15_1,dateFinished,839,0.9797377830750894,19.0,1.0,0.0012165450121654502,timestamp,False,"length, not-an-id, timestamp",2010-10-07 14:57:22
BPIC15_1,dueDate,822,1.0,25.0,0.0,0.0012165450121654502,timestamp,False,"space, not-an-id, timestamp",2010-10-10T14:43:08+02:00
BPIC15_1,action_code,839,0.011918951132300357,12.038140643623361,0.0,0.6,activity-alias,False,"unique, length, space, activity-alias",01_HOOFD_010
BPIC15_1,activityNameEN,839,0.010727056019070322,32.06197854588796,1.0,1.0,-,False,unique,register submission date request
BPIC15_1,planned,838,1.0,25.0,0.0,0.0011933174224343676,timestamp,False,"space, not-an-id, timestamp",2010-10-08T14:43:08+02:00
BPIC15_1,time:timestamp,839,0.5697258641239571,25.0,0.0,0.0020920502092050207,outcome-field,False,"space, not-an-id, outcome-field",2010-10-05T00:00:00+02:00
BPIC15_1,monitoringResource,839,0.02026221692491061,6.131108462455304,0.0,0.058823529411764705,-,False,"unique, length, space, not-an-id",560894
BPIC15_1,org:resource,839,0.014302741358760428,6.019070321811681,0.0,0.08333333333333333,-,False,"unique, length, space, not-an-id",560872
BPIC15_1,activityNameNL,839,0.010727056019070322,38.06555423122765,1.0,1.0,-,False,unique,registratie datum binnenkomst aanvraag
BPIC15_1,concept:name,839,0.011918951132300357,12.038140643623361,0.0,0.6,outcome-field,False,"unique, length, space, outcome-field",01_HOOFD_010
BPIC15_1,lifecycle:transition,839,0.0011918951132300357,8.0,0.0,1.0,outcome-field,False,"unique, length, space, outcome-field",complete
BPIC15_1,case:landRegisterID,96,0.8333333333333334,6.71875,0.0,0.0125,-,False,"length, space, not-an-id",720164
BPIC15_1,case:caseProcedure,83,0.024096385542168676,9.566265060240964,0.0,1.0,-,False,"unique, length, space",Uitgebreid
BPIC15_1,case:Includes_subCases,839,0.0023837902264600714,1.0,0.0,1.0,-,False,"unique, length, space",N
BPIC15_2,case:Includes_subCases,581,0.0034423407917383822,1.0,0.0,1.0,-,False,"unique, length, space",N
BPIC15_2,case:concept:name,582,1.0,7.390034364261169,0.0,0.001718213058419244,outcome-field,False,"length, space, not-an-id, outcome-field",3871304
BPIC15_2,case:Responsible_actor,582,0.012027491408934709,6.1048109965635735,0.0,0.14285714285714285,-,False,"unique, length, space, not-an-id",560458
BPIC15_2,case:endDate,522,0.9310344827586207,25.0,0.0,0.00205761316872428,timestamp,False,"space, not-an-id, timestamp",2013-12-03T16:21:50+01:00
BPIC15_2,case:caseStatus,582,0.003436426116838488,1.0,0.0,1.0,-,False,"unique, length, space",G
BPIC15_2,case:parts,579,0.08290155440414508,14.20034542314335,0.35060449050086356,1.0,-,False,"unique, length, space",Milieu (vergunning)
BPIC15_2,case:caseProcedure,178,0.011235955056179775,9.49438202247191,0.0,1.0,-,False,"unique, length, space",Uitgebreid
BPIC15_2,case:last_phase,582,0.029209621993127148,16.716494845360824,1.0,1.0,outcome-field,False,"unique, length, outcome-field",Procedure afgebroken
BPIC15_2,case:case_type,582,0.001718213058419244,6.0,0.0,1.0,-,False,"unique, length, space",557669
BPIC15_2,case:startDate,582,0.6907216494845361,25.0,0.0,0.0024875621890547263,timestamp,False,"space, not-an-id, timestamp",2011-03-16T00:00:00+01:00
BPIC15_2,case:requestComplete,582,0.003436426116838488,4.152920962199313,0.0,1.0,-,False,"unique, length, space",TRUE
BPIC15_2,monitoringResource,582,0.012027491408934709,6.065292096219931,0.0,0.14285714285714285,-,False,"unique, length, space, not-an-id",560458
BPIC15_2,org:resource,582,0.012027491408934709,6.0034364261168385,0.0,0.14285714285714285,-,False,"unique, length, space, not-an-id",560532
BPIC15_2,activityNameNL,582,0.015463917525773196,38.21993127147766,1.0,1.0,-,False,unique,datum ter inzage MER
BPIC15_2,concept:name,582,0.01718213058419244,12.154639175257731,0.0,0.3,outcome-field,False,"unique, length, space, not-an-id, outcome-field",01_HOOFD_080
BPIC15_2,question,582,0.012027491408934709,5.097938144329897,0.00859106529209622,0.42857142857142855,-,False,"unique, length, space, not-an-id",29-6-2010 0:00:00
BPIC15_2,dateFinished,582,0.9810996563573883,19.0,1.0,0.0017513134851138354,timestamp,False,"length, not-an-id, timestamp",2011-09-12 10:20:20
BPIC15_2,action_code,582,0.01718213058419244,12.154639175257731,0.0,0.3,activity-alias,False,"unique, length, space, not-an-id, activity-alias",01_HOOFD_080
BPIC15_2,activityNameEN,582,0.015463917525773196,31.920962199312715,1.0,1.0,-,False,unique,date for inspection MER
BPIC15_2,planned,575,1.0,25.0,0.0,0.0017391304347826088,timestamp,False,"space, not-an-id, timestamp",2011-04-28T09:15:18+02:00
